Settlement	<http://nl.dbpedia.org/property/opgericht>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/foundingDate>                  
President	<http://nl.dbpedia.org/property/overlijdensdatum>           	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
Website	<http://nl.dbpedia.org/property/opgericht>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/releaseDate>                   
Politician	<http://nl.dbpedia.org/property/overleden>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
PrimeMinister	<http://nl.dbpedia.org/property/geboortedatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
MusicalArtist	<http://nl.dbpedia.org/property/overlijdensdatum>           	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
ty/Q483501	<http://nl.dbpedia.org/property/geboren>                    	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Person	<http://nl.dbpedia.org/property/geboren>                    	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Event	<http://nl.dbpedia.org/property/datum>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/date>                          
SportsManager	<http://nl.dbpedia.org/property/overleden>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
Olympics	<http://nl.dbpedia.org/property/opening>                    	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/startDate>                     
Medician	<http://nl.dbpedia.org/property/sterfdatum>                 	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/deathDate>                     
Musical	<http://nl.dbpedia.org/property/premi\u00E8re>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/releaseDate>                   
ConcentrationCamp	<http://nl.dbpedia.org/property/bevrijding>                 	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/liberationDate>                
Theatre	<http://nl.dbpedia.org/property/openingsdatum>              	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/openingDate>                   
Politician	<http://nl.dbpedia.org/property/geboren>                    	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/birthDate>                     
Ship	<http://nl.dbpedia.org/property/kiellegging>                	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/layingDown>                    
Station	<http://nl.dbpedia.org/property/opening>                    	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/openingDate>                   
Album	<http://nl.dbpedia.org/property/datum>                      	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/recordDate>                    
Locomotive	<http://nl.dbpedia.org/property/uitdienst>                  	dbpedia-owl:sameAs	<http://dbpedia.org/ontology/activeYearsEndDate>            
